food_code,name,group,protein,fat,carbs,energy,fibre
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",9,0.41,0.1,22.36,86.0,1.3
167765,"Watermelon, raw",9,0.61,0.15,7.55,30.0,0.4
167766,"Maraschino cherries, canned, drained",9,0.22,0.21,41.97,165.0,3.2
167767,"Pineapple, canned, juice pack, drained",9,0.51,0.11,15.56,60.0,1.3
167768,"Apricots, canned, heavy syrup, drained",9,0.64,0.11,21.31,83.0,2.7
167769,"Cherries, sour, canned, water pack, drained",9,0.69,0.21,10.45,42.0,1.2
167770,"Cherries, sweet, canned, pitted, heavy syrup, drained",9,0.73,0.21,21.07,83.0,2.3
167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",9,0.1,0.13,11.3,46.0,0.2
167772,"Applesauce, canned, unsweetened, with added ascorbic acid",9,0.17,0.1,11.27,42.0,1.1
167773,"Applesauce, canned, sweetened, with salt",9,0.18,0.18,19.91,76.0,1.2
167774,"Grapefruit juice, pink, raw",9,0.5,0.1,9.2,39.0,
167775,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",9,0.14,0.1,11.54,47.0,0.1
167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9,0.39,0.16,15.01,63.0,3.1
167777,"Pears, raw, red anjou",9,0.33,0.14,14.94,62.0,3.0
167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",9,0.36,0.09,16.1,67.0,3.1
167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",9,0.44,0.1,15.79,66.0,3.1
167780,Prune puree,9,2.1,0.2,65.1,257.0,3.3
167781,Candied fruit,9,0.34,0.07,82.74,322.0,1.6
167782,"Abiyuch, raw",9,1.5,0.1,17.6,69.0,5.3
167783,"Rowal, raw",9,2.3,2.0,23.9,111.0,6.2
167784,"Guava nectar, canned, with added ascorbic acid",9,0.09,0.06,16.25,63.0,1.0
167785,"Mango nectar, canned",9,0.11,0.06,13.12,51.0,0.3
167786,"Tamarind nectar, canned",9,0.09,0.12,14.73,57.0,0.5
167787,"Pomegranate juice, bottled",9,0.15,0.29,13.13,54.0,0.1
167788,"Nance, canned, syrup, drained",9,0.56,1.28,22.79,95.0,7.0
167789,"Nance, frozen, unsweetened",9,0.66,1.16,16.97,73.0,7.5
167790,"Naranjilla (lulo) pulp, frozen, unsweetened",9,0.44,0.22,5.9,25.0,1.1
167791,Horned melon (Kiwano),9,1.78,1.26,7.56,44.0,
167792,Orange Pineapple Juice Blend,9,0.41,0.08,12.2,51.0,0.2
167793,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",9,0.2,0.18,15.22,63.0,2.1
167794,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",9,0.68,0.12,11.54,49.0,0.3
167795,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",9,0.42,0.0,15.0,63.0,0.0
167796,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",9,0.6,0.26,12.53,53.0,0.7
167797,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",9,0.63,0.02,10.9,46.0,0.0
167798,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",9,0.63,0.33,13.04,56.0,0.6
167799,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",9,0.44,0.3,12.37,52.0,0.6
167800,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",9,0.12,0.17,11.49,48.0,0.3
167801,"Lemon juice from concentrate, bottled, CONCORD",9,0.4,0.07,5.37,24.0,
167802,"Lemon juice from concentrate, bottled, REAL LEMON",9,0.47,0.07,5.66,17.0,0.7
167803,"Cranberry sauce, whole, canned, OCEAN SPRAY",9,0.75,0.05,40.4,158.0,1.2
167804,"Cranberry sauce, jellied, canned, OCEAN SPRAY",9,1.05,0.04,40.61,160.0,1.0
